st_code,cfra_code,major_head,year,vol,amt
7,220201108,2202,2006,3,-2.31
11,280105799,2801,2005,2,-2.29
30,240200911,2402,2005,2,-2.28
30,280105911,2801,2006,2,-2.27
27,202900911,2029,2006,3,-2.25
32,240500911,2405,2006,2,-2.24
32,240801911,2408,2006,2,-2.24
32,220500911,2205,2006,3,-2.23
27,280101799,2801,2005,2,-2.22
30,201500911,2015,2006,3,-2.2
27,201400911,2014,2005,3,-2.19
32,201400911,2014,2005,3,-2.13
32,240200911,2402,2005,2,-2.13
40,221501911,2215,2006,3,-2.11
10,221001911,2210,2006,3,-2.11
27,223001903,2230,2005,3,-2.07
34,221701911,2217,2005,3,-2.06
27,205800911,2058,2006,3,-2.01
40,240801911,2408,2005,2,-1.96
7,224501101,2245,2005,3,-1.96
34,205500911,2055,2006,3,-1.95
32,240400911,2404,2006,2,-1.95
33,201400911,2014,2006,3,-1.94
27,240601911,2406,2006,2,-1.93
30,221006911,2210,2005,3,-1.91
21,225100911,2251,2006,3,-1.89
11,220201911,2202,2005,3,-1.89
30,345100911,3451,2005,2,-1.88
17,270280799,2702,2005,2,-1.87
32,201500911,2015,2005,3,-1.84
34,223001911,2230,2005,3,-1.76
27,221001911,2210,2005,3,-1.62
40,220203911,2202,2006,3,-1.61
30,285207911,2852,2006,2,-1.61
32,205400911,2054,2005,3,-1.61
40,207000911,2070,2005,3,-1.6
21,220203911,2202,2006,3,-1.58
34,220400911,2204,2005,3,-1.57
40,305102911,3051,2005,2,-1.5
30,220400911,2204,2005,3,-1.46
33,345100911,3451,2006,2,-1.46
33,223002911,2230,2006,3,-1.45
32,220205911,2202,2006,3,-1.44
40,280105799,2801,2006,2,-1.43
30,285100911,2851,2005,2,-1.43
30,223502911,2235,2005,3,-1.37
17,205980799,2059,2006,3,-1.37
3,221501052,2215,2005,3,-1.34
30,305404911,3054,2006,2,-1.33
32,205800911,2058,2006,3,-1.33
27,240300911,2403,2005,2,-1.33
40,221680911,2216,2005,3,-1.3
34,221603911,2216,2006,3,-1.29
28,224502104,2245,2006,3,-1.29
30,220203911,2202,2006,3,-1.29
10,270203799,2702,2006,2,-1.28
30,221001911,2210,2005,3,-1.28
32,222580911,2225,2006,3,-1.26
19,221100104,2211,2006,3,-1.26
8,250103001,2501,2006,2,-1.25
11,241501911,2415,2006,2,-1.25
34,207000911,2070,2006,3,-1.24
30,201300911,2013,2005,3,-1.24
30,205600911,2056,2005,3,-1.18
30,221005911,2210,2005,3,-1.17
30,205300911,2053,2005,3,-1.15
10,223560911,2235,2006,3,-1.14
40,240602911,2406,2005,2,-1.12
30,305480799,3054,2006,2,-1.12
30,240601911,2406,2005,2,-1.11
32,347500911,3475,2006,2,-1.11
